BA;290689;Caraíbas;24;2;10541
BA;290690;Caravelas;23;4;21150
BA;290700;Cardeal da Silva;30;7;8280
BA;290710;Carinhanha;20;4;28879
BA;290720;Casa Nova;20;6;62862
BA;290730;Castro Alves;26;6;24437
BA;290740;Catolândia;27;7;3767
BA;290750;Catu;26;6;48697
BA;290755;Caturama;13;6;8545
BA;290760;Central;12;8;17320
BA;290770;Chorrochó;12;9;10571
BA;290780;Cícero Dantas;9;6;30827
BA;290790;Cipó;8;7;15063
BA;290800;Coaraci;12;12;22764
BA;290810;Cocos;14;8;17394
BA;290820;Conceição da Feira;23;7;19091
BA;290830;Conceição do Almeida;18;7;17684
BA;290840;Conceição do Coité;7;7;60835
BA;290850;Conceição do Jacuípe;20;10;27522
BA;290860;Conde;17;12;19925
BA;290870;Condeúba;11;6;17004
BA;290880;Contendas do Sincorá;6;10;3857
BA;290890;Coração de Maria;1;6;23161
BA;290900;Cordeiros;28;12;8518
BA;290910;Coribe;14;8;14555
BA;290920;Coronel João Sá;28;7;18168
BA;290930;Correntina;30;3;31658
BA;290940;Cotegipe;30;6;13663
BA;290950;Cravolândia;8;12;5427
BA;290960;Crisópolis;19;7;19510
BA;290970;Cristópolis;19;7;13595
BA;290980;Cruz das Almas;29;7;54827
BA;290990;Curaçá;6;7;32449
BA;291000;Dário Meira;12;4;12565
BA;291005;Dias d'Ávila;25;2;53821
BA;291010;Dom Basílio;5;4;11087
BA;291020;Dom Macedo Costa;4;4;3809
BA;291030;Elísio Medrado;20;7;7907
BA;291040;Encruzilhada;12;12;22525
BA;291050;Entre Rios;3;4;2979
BA;290050;Érico Cardoso;5;4;10609
BA;291060;Esplanada;23;6;31118
BA;291070;Euclides da Cunha;19;9;56625
BA;291072;Eunápolis;12;5;93984
BA;291075;Fátima;1;4;18918
BA;291077;Feira da Mata;24;2;6328
BA;291080;Feira de Santana;18;9;571997
BA;291085;Filadélfia;9;5;7787
BA;291090;Firmino Alves;27;7;5577
BA;291100;Floresta Azul;23;4;10333
BA;291110;Formosa do Rio Preto;22;12;20845
BA;291120;Gandu;28;7;30091
BA;291125;Gavião;19;3;4444
BA;291130;Gentio do Ouro;9;7;11326
BA;291140;Glória;1;5;13879
BA;291150;Gongogi;12;4;6845
BA;291160;Governador Mangabeira;14;3;19828
BA;291165;Guajeru;25;2;7062
BA;291170;Guanambi;14;8;76230
BA;291180;Guaratinga;31;8;22621
BA;291185;Heliópolis;11;4;14020
BA;291190;Iaçu;14;8;27835
BA;291200;Ibiassucê;17;7;9507
BA;291210;Ibicaraí;22;10;24752
BA;291220;Ibicoara;20;7;15856
BA;291230;Ibicuí;12;12;15777
BA;291240;Ibipeba;19;9;16762
BA;291250;Ibipitanga;6;5;13841
BA;291260;Ibiquera;20;8;5007
BA;291270;Ibirapitanga;3;8;23197
BA;291280;Ibirapuã;20;7;7534
BA;291290;Ibirataia;10;11;23940
BA;291300;Ibitiara;20;2;15802
BA;291310;Ibititá;17;10;18614
BA;291320;Ibotirama;14;8;25292
BA;291330;Ichu;30;7;5881
BA;291340;Igaporã;1;9;14499
BA;291345;Igrapiúna;24;2;13246
BA;291350;Iguaí;12;12;27849
BA;291360;Ilhéus-BA;28;6;220144
BA;291370;Inhambupe;6;8;34388
BA;291380;Ipecaetá;19;7;16055
BA;291390;Ipiaú;2;12;42561
BA;291400;Ipirá;15;8;60043
BA;291410;Ipupiara;9;8;8931
BA;291420;Irajuba;16;7;7215
BA;291430;Iramaia;28;1;15134
BA;291440;Iraquara;5;7;22607
BA;291450;Irará;17;10;25012
BA;291460;Irecê;31;5;62676
BA;291470;Itaberaba;26;3;59393
BA;291480;Itabuna;28;7;210604
BA;291490;Itacaré;27;1;24720
BA;291500;Itaeté;25;9;14154
BA;291510;Itagi;10;12;13882
BA;291520;Itagibá;14;8;16272
BA;291530;Itagimirim;23;4;7049
BA;291535;Itaguaçu da Bahia;24;2;12545
BA;291540;Itaju do Colônia;16;7;7673
BA;291550;Itajuípe;12;12;20343
BA;291560;Itamaraju;5;10;65327
BA;291570;Itamari;18;7;8468
BA;291580;Itambé;12;8;5897
BA;291590;Itanagra;30;7;6605
BA;291600;Itanhém;14;8;20636
BA;291610;Itaparica;25;10;19897
BA;291620;Itapé;28;12;11123
BA;291630;Itapebi;14;8;11520
BA;291640;Itapetinga;12;12;63243
BA;291650;Itapicuru;28;4;30703
BA;291660;Itapitanga;21;12;10106
BA;291670;Itaquara;17;7;7564
BA;291680;Itarantim;1;4;17615
BA;291685;Itatim;13;6;14569
BA;291690;Itiruçu;1;9;15764
BA;291700;Itiúba;17;1;35749
BA;291710;Itororó;22;8;20165
BA;291720;Ituaçu;9;10;17939
BA;291730;Ituberá;14;8;23530
BA;291733;Iuiú;24;2;11469
BA;291735;Jaborandi;9;5;6462
BA;291740;Jacaraci;7;6;14346
BA;291750;Jacobina;28;7;76463
BA;291760;Jaguaquara;18;5;46641
BA;291770;Jaguarari;6;8;29097
BA;291780;Jaguaripe;27;12;16207
BA;291790;Jandaíra;28;4;6447
BA;291800;Jequié;25;10;145964
BA;291810;Jeremoabo;25;10;37431
BA;291820;Jiquiriçá;31;1;13386
BA;291830;Jitaúna;22;12;16839
BA;291835;João Dourado;9;5;20834
BA;291840;Juazeiro;15;7;230538
BA;291845;Jucuruçu;24;2;10599
BA;291850;Jussara;27;7;6090
BA;291855;Jussari;9;5;6857
BA;291860;Jussiape;9;7;8465
BA;291870;Lafaiete Coutinho;20;2;3526
